2024-04-03 10:38:27.7518 | INFO | LogLevel_Demo.Program | Hello 
2024-04-03 10:38:40.7606 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/swagger/index.html - - 
2024-04-03 10:38:43.0903 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/_framework/aspnetcore-browser-refresh.js - - 
2024-04-03 10:38:43.0903 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/swagger/index.html - - - 200 - text/html;charset=utf-8 2340.9099ms 
2024-04-03 10:38:43.2862 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/_vs/browserLink - - 
2024-04-03 10:38:43.3117 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/_framework/aspnetcore-browser-refresh.js - - - 200 11996 application/javascript;+charset=utf-8 215.8113ms 
2024-04-03 10:38:44.4854 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 1207.9369ms 
2024-04-03 10:38:44.7401 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7054/swagger/v1/swagger.json - - 
2024-04-03 10:38:45.1291 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7054/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 389.8169ms 
2024-04-03 10:39:42.3297 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 POST https://localhost:7054/api/CLOrderService/placeOrder application/json 91 
2024-04-03 10:39:42.4230 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'LogLevel_Demo.Controllers.CLOrderServiceController.PlaceOrder (LogLevel_Demo)' 
2024-04-03 10:39:42.5003 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "PlaceOrder", controller = "CLOrderService"}. Executing controller action with signature System.Threading.Tasks.Task`1[Microsoft.AspNetCore.Mvc.IActionResult] PlaceOrder(LogLevel_Demo.Model.ORD01) on controller LogLevel_Demo.Controllers.CLOrderServiceController (LogLevel_Demo). 
2024-04-03 10:39:43.2791 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method LogLevel_Demo.Controllers.CLOrderServiceController.PlaceOrder (LogLevel_Demo) - Validation state: Valid 
2024-04-03 10:39:49.7583 | INFO | LogLevel_Demo.BusinessLogic.BLOrderService | New order placed. Order ID: 9995, Customer: string, Pizza Type: Margherita 
